Date,Confirmed
2020-05-01,3
2020-05-02,3
2020-05-03,3
2020-05-04,3
2020-05-05,3
2020-05-06,3
2020-05-07,3
2020-05-08,3
2020-05-09,3
2020-05-10,3
2020-05-11,3
2020-05-12,3
2020-05-13,3
2020-05-14,3
2020-05-15,3
2020-05-16,3
2020-05-17,3
2020-05-18,3
2020-05-19,3
2020-05-20,3
2020-05-21,5
2020-05-22,5
2020-05-23,5
2020-05-24,5
2020-05-25,5
2020-05-26,5
2020-05-27,5
2020-05-28,5
2020-05-29,10
2020-05-30,10
2020-05-31,10
2020-06-01,10
2020-06-02,10
2020-06-03,10
2020-06-04,10
2020-06-05,13
2020-06-06,13
2020-06-07,13
2020-06-08,13
2020-06-09,13
2020-06-10,13
2020-06-11,18
2020-06-12,18
2020-06-13,18
2020-06-14,18
2020-06-15,18
2020-06-16,19
2020-06-17,22
2020-06-18,24
2020-06-19,26
2020-06-20,27
2020-06-21,29
2020-06-22,32
2020-06-23,32
2020-06-24,36
2020-06-25,37
2020-06-26,39
2020-06-27,43
2020-06-28,44
2020-06-29,51
2020-06-30,51
2020-07-01,56
2020-07-02,58
2020-07-03,59
2020-07-04,71
2020-07-05,76
2020-07-06,76
2020-07-07,76
2020-07-08,83
2020-07-09,83
2020-07-10,83
2020-07-11,84
2020-07-12,84
2020-07-13,84
2020-07-14,84
2020-07-15,84
2020-07-16,97
2020-07-17,100
2020-07-18,111
2020-07-19,112
2020-07-20,119
2020-07-21,119
2020-07-22,122
2020-07-23,122
2020-07-24,122
2020-07-25,140
2020-07-26,140
2020-07-27,143
2020-07-28,159
2020-07-29,171
2020-07-30,178
2020-07-31,178
2020-08-01,178
2020-08-02,178
2020-08-03,178
2020-08-04,178
2020-08-05,178
2020-08-06,179
2020-08-07,179
2020-08-08,179
2020-08-09,179
2020-08-10,192
2020-08-11,192
2020-08-12,192
2020-08-13,192
2020-08-14,192
2020-08-15,192
2020-08-16,192
2020-08-17,192
2020-08-18,192
2020-08-19,193
2020-08-20,193
2020-08-21,194
2020-08-22,194
2020-08-23,194
2020-08-24,194
2020-08-25,194
2020-08-26,194
2020-08-27,195
2020-08-28,195
2020-08-29,195
2020-08-30,195
2020-08-31,198
2020-09-01,198
2020-09-02,198
2020-09-03,198
2020-09-04,198
2020-09-05,198
2020-09-06,198
2020-09-07,198
2020-09-08,198
2020-09-09,198
2020-09-10,198
2020-09-11,198
2020-09-12,198
2020-09-13,198
2020-09-14,198
2020-09-15,198
2020-09-16,198
2020-09-17,198
2020-09-18,198
2020-09-19,199
2020-09-20,201
2020-09-21,202
2020-09-22,202
2020-09-23,202
2020-09-24,202
2020-09-25,202
2020-09-26,202
2020-09-27,202
2020-09-28,202
2020-09-29,202
2020-09-30,202
2020-10-01,202
2020-10-02,202
2020-10-03,202
2020-10-04,202
2020-10-05,202
2020-10-06,202
2020-10-07,202
2020-10-08,202
2020-10-09,202
2020-10-10,202
2020-10-11,202
2020-10-12,202
2020-10-13,202
2020-10-14,202
2020-10-15,202
2020-10-16,202
2020-10-17,202
2020-10-18,202
2020-10-19,202
2020-10-20,202
2020-10-21,202
2020-10-22,202
2020-10-23,202
2020-10-24,202
2020-10-25,202
2020-10-26,202
2020-10-28,202
2020-10-29,202
2020-10-30,202
2020-10-31,202
2020-11-01,202
2020-11-02,202
2020-11-03,202
2020-11-04,202
2020-11-05,202
2020-11-06,202
2020-11-07,202
2020-11-08,202
2020-11-09,202
2020-11-10,202
2020-11-11,202
2020-11-12,202
2020-11-13,202
2020-11-14,202
2020-11-15,202
2020-11-16,202
2020-11-17,202
2020-11-18,202
2020-11-19,202
2020-11-20,202
2020-11-21,202
2020-11-22,202
2020-11-23,202
2020-11-24,202
2020-11-25,202
2020-11-26,202
2020-11-27,202
2020-11-28,202
2020-11-29,202
2020-11-30,202
2020-12-01,202
2020-12-02,202
2020-12-03,202
2020-12-04,202
2020-12-05,202
2020-12-06,202
2020-12-07,202
2020-12-08,202
2020-12-09,202
2020-12-10,202
2020-12-11,202
2020-12-12,202
2020-12-13,202
2020-12-14,202
2020-12-15,202
2020-12-16,202
2020-12-17,202
2020-12-18,202
2020-12-19,202
2020-12-20,202
2020-12-21,202
2020-12-22,202
2020-12-23,202
2020-12-24,202
2020-12-25,202
2020-12-26,202
2020-12-27,202
2020-12-28,202
2020-12-29,202
2021-01-03,202
2021-01-04,202
2021-01-05,202
2021-01-06,202
2021-01-07,202
2021-01-08,202
2021-01-09,202
2021-01-10,202
2021-01-11,202
2021-01-12,202
2021-01-13,202
2021-01-14,202
2021-01-15,202
2021-01-16,202
2021-01-17,202
2021-01-18,202
2021-01-19,202
2021-01-20,202
2021-01-21,202
2021-01-22,202
2021-01-23,202
2021-01-24,202
2021-01-25,202
2021-01-26,202
2021-01-27,202
2021-01-28,202
2021-01-29,202
2021-01-30,202
2021-01-31,202
