Date,Confirmed
2020-05-01,60
2020-05-02,60
2020-05-03,68
2020-05-04,68
2020-05-05,69
2020-05-06,78
2020-05-07,78
2020-05-08,81
2020-05-09,82
2020-05-10,83
2020-05-11,83
2020-05-12,84
2020-05-13,86
2020-05-14,89
2020-05-15,89
2020-05-16,89
2020-05-17,91
2020-05-18,91
2020-05-19,91
2020-05-20,91
2020-05-21,91
2020-05-22,91
2020-05-23,91
2020-05-24,91
2020-05-25,93
2020-05-26,94
2020-05-27,94
2020-05-28,94
2020-05-29,97
2020-05-30,100
2020-05-31,100
2020-06-01,100
2020-06-02,100
2020-06-03,100
2020-06-04,100
2020-06-05,102
2020-06-06,106
2020-06-07,106
2020-06-08,108
2020-06-09,108
2020-06-10,108
2020-06-11,110
2020-06-12,112
2020-06-13,114
2020-06-14,114
2020-06-15,114
2020-06-16,114
2020-06-17,116
2020-06-18,118
2020-06-19,119
2020-06-20,120
2020-06-21,121
2020-06-22,121
2020-06-23,125
2020-06-24,126
2020-06-25,128
2020-06-26,130
2020-06-27,131
2020-06-28,140
2020-06-29,150
2020-06-30,152
2020-07-01,156
2020-07-02,172
2020-07-03,176
2020-07-04,177
2020-07-05,177
2020-07-06,178
2020-07-07,180
2020-07-08,184
2020-07-09,195
2020-07-10,198
2020-07-11,199
2020-07-12,229
2020-07-13,259
2020-07-14,262
2020-07-15,285
2020-07-16,285
2020-07-17,285
2020-07-18,285
2020-07-19,285
2020-07-20,285
2020-07-21,291
2020-07-22,294
2020-07-23,308
2020-07-24,310
2020-07-25,310
2020-07-26,322
2020-07-27,337
2020-07-28,342
2020-07-29,342
2020-07-30,342
2020-07-31,343
2020-08-01,343
2020-08-02,345
2020-08-03,345
2020-08-04,345
2020-08-05,345
2020-08-06,345
2020-08-07,345
2020-08-08,345
2020-08-09,349
2020-08-10,356
2020-08-11,376
2020-08-12,382
2020-08-13,382
2020-08-14,399
2020-08-15,399
2020-08-16,400
2020-08-17,405
2020-08-18,406
2020-08-19,408
2020-08-20,408
2020-08-21,408
2020-08-22,408
2020-08-23,417
2020-08-24,421
2020-08-25,429
2020-08-26,429
2020-08-27,429
2020-08-28,429
2020-08-29,429
2020-08-30,429
2020-08-31,429
2020-09-01,429
2020-09-02,429
2020-09-03,429
2020-09-04,429
2020-09-05,434
2020-09-06,435
2020-09-07,435
2020-09-08,435
2020-09-09,437
2020-09-10,437
2020-09-11,437
2020-09-12,437
2020-09-13,437
2020-09-14,437
2020-09-15,437
2020-09-16,437
2020-09-17,437
2020-09-18,437
2020-09-19,437
2020-09-20,437
2020-09-21,437
2020-09-22,437
2020-09-23,437
2020-09-24,437
2020-09-25,437
2020-09-26,437
2020-09-27,437
2020-09-28,437
2020-09-29,437
2020-09-30,438
2020-10-01,438
2020-10-02,438
2020-10-03,438
2020-10-04,439
2020-10-05,439
2020-10-06,439
2020-10-07,439
2020-10-08,439
2020-10-09,439
2020-10-10,439
2020-10-11,439
2020-10-12,439
2020-10-13,439
2020-10-14,439
2020-10-15,439
2020-10-16,440
2020-10-17,440
2020-10-18,440
2020-10-19,440
2020-10-20,440
2020-10-21,440
2020-10-22,440
2020-10-23,440
2020-10-24,440
2020-10-25,440
2020-10-26,440
2020-10-28,440
2020-10-29,440
2020-10-30,440
2020-10-31,440
2020-11-01,440
2020-11-02,440
2020-11-03,440
2020-11-04,440
2020-11-05,440
2020-11-06,440
2020-11-07,440
2020-11-08,440
2020-11-09,440
2020-11-10,440
2020-11-11,440
2020-11-12,440
2020-11-13,440
2020-11-14,440
2020-11-15,440
2020-11-16,440
2020-11-17,440
2020-11-18,440
2020-11-19,440
2020-11-20,440
2020-11-21,440
2020-11-22,440
2020-11-23,440
2020-11-24,440
2020-11-25,440
2020-11-26,440
2020-11-27,440
2020-11-28,440
2020-11-29,440
2020-11-30,440
2020-12-01,440
2020-12-02,440
2020-12-03,440
2020-12-04,440
2020-12-05,440
2020-12-06,440
2020-12-07,440
2020-12-08,440
2020-12-09,440
2020-12-10,440
2020-12-11,440
2020-12-12,440
2020-12-13,440
2020-12-14,440
2020-12-15,440
2020-12-16,440
2020-12-17,440
2020-12-18,440
2020-12-19,440
2020-12-20,440
2020-12-21,440
2020-12-22,440
2020-12-23,440
2020-12-24,440
2020-12-25,440
2020-12-26,440
2020-12-27,440
2020-12-28,440
2020-12-29,440
2021-01-03,440
2021-01-04,440
2021-01-05,440
2021-01-06,440
2021-01-07,440
2021-01-08,440
2021-01-09,440
2021-01-10,440
2021-01-11,440
2021-01-12,440
2021-01-13,440
2021-01-14,440
2021-01-15,440
2021-01-16,440
2021-01-17,440
2021-01-18,440
2021-01-19,440
2021-01-20,440
2021-01-21,440
2021-01-22,440
2021-01-23,440
2021-01-24,440
2021-01-25,440
2021-01-26,440
2021-01-27,440
2021-01-28,440
2021-01-29,440
2021-01-30,440
2021-01-31,440
