Date,Confirmed,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
2020-05-01,22,,,,,,,,
2020-05-02,22,,,,,,,,
2020-05-03,26,,,,,,,,
2020-05-04,26,,,,,,,,
2020-05-05,26,,,,,,,,
2020-05-06,29,,,,,,,,
2020-05-07,29,,,,,,,,
2020-05-08,32,,,,,,,,
2020-05-09,35,,,,,,,,
2020-05-10,39,,,,,,,,
2020-05-11,48,,,,,,,,
2020-05-12,48,,,,,,,,
2020-05-13,54,,,,,,,,
2020-05-14,56,,,,,,,,
2020-05-15,56,,,,,,,,
2020-05-16,57,,,,,,,,
2020-05-17,58,,,,,,,,
2020-05-18,67,,,,,,,,
2020-05-19,67,,,,,,,,
2020-05-20,80,,,,,,,,
2020-05-21,88,,,,,,,,
2020-05-22,117,,,,,,,,
2020-05-23,117,,,,,,,,
2020-05-24,134,,,,,,,,
2020-05-25,134,,,,,,,,
2020-05-26,138,,,,,,,,
2020-05-27,146,,,,,,,,
2020-05-28,148,,,,,,,,
2020-05-29,150,,,,,,,,
2020-05-30,153,,,,,,,,
2020-05-31,156,,,,,,,,
2020-06-01,157,,,,,,,,
2020-06-02,160,,,,,,,,
2020-06-03,165,,,,,,,,
2020-06-04,167,,,,,,,,
2020-06-05,171,,,,,,,,
2020-06-06,171,,,,,,,,
2020-06-07,171,,,,,,,,
2020-06-08,174,,,,,,,,
2020-06-09,178,,,,,,,,
2020-06-10,182,,,,,,,,
2020-06-11,184,,,,,,,,
2020-06-12,186,,,,,,,,
2020-06-13,188,,,,,,,,
2020-06-14,189,,,,,,,,
2020-06-15,191,,,,,,,,
2020-06-16,192,,,,,,,,
2020-06-17,195,,,,,,,,
2020-06-18,195,,,,,,,,
2020-06-19,195,,,,,,,,
2020-06-20,195,,,,,,,,
2020-06-21,195,,,,,,,,
2020-06-22,196,,,,,,,,
2020-06-23,217,,,,,,,,
2020-06-24,231,,,,,,,,
2020-06-25,233,,,,,,,,
2020-06-26,233,,,,,,,,
2020-06-27,233,,,,,,,,
2020-06-28,233,,,,,,,,
2020-06-29,234,,,,,,,,
2020-06-30,235,,,,,,,,
2020-07-01,235,,,,,,,,
2020-07-02,235,,,,,,,,
2020-07-03,235,,,,,,,,
2020-07-04,235,,,,,,,,
2020-07-05,235,,,,,,,,
2020-07-06,235,,,,,,,,
2020-07-07,235,,,,,,,,
2020-07-08,235,,,,,,,,
2020-07-09,235,,,,,,,,
2020-07-10,235,,,,,,,,
2020-07-11,265,,,,,,,,
2020-07-12,298,,,,,,,,
2020-07-13,308,,,,,,,,
2020-07-14,338,,,,,,,,
2020-07-15,361,,,,,,,,
2020-07-16,373,,,,,,,,
2020-07-17,386,,,,,,,,
2020-07-18,411,,,,,,,,
2020-07-19,426,,,,,,,,
2020-07-20,444,,,,,,,,
2020-07-21,455,,,,,,,,
2020-07-22,471,,,,,,,,
2020-07-23,502,,,,,,,,
2020-07-24,518,,,,,,,,
2020-07-25,551,,,,,,,,
2020-07-26,560,,,,,,,,
2020-07-27,567,,,,,,,,
2020-07-28,599,,,,,,,,
2020-07-29,626,,,,,,,,
2020-07-30,656,,,,,,,,
2020-07-31,666,,,,,,,,
2020-08-01,675,,,,,,,,
2020-08-02,689,,,,,,,,
2020-08-03,707,,,,,,,,
2020-08-04,749,,,,,,,,
2020-08-05,761,,,,,,,,
2020-08-06,800,,,,,,,,
2020-08-07,820,,,,,,,,
2020-08-08,846,,,,,,,,
2020-08-09,851,,,,,,,,
2020-08-10,901,,,,,,,,
2020-08-11,923,,,,,,,,
2020-08-12,938,,,,,,,,
2020-08-13,938,,,,,,,,
2020-08-14,993,,,,,,,,
